File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MOD13A3_061__1_km_monthly_EVI_doy2019091000000_aid0001,_1_km_monthly_EVI,aid0001,2019-04-01,219.0,0.2827,0.6803,"(0.2827,0.6803)",0.5237909,0.0747407,0.0055862,0.58465,0.6803,0.5356,0.2827,0.45755
MOD13A3_061__1_km_monthly_EVI_doy2019121000000_aid0001,_1_km_monthly_EVI,aid0001,2019-05-01,219.0,0.3037,0.6533,"(0.3037,0.6533)",0.5169607,0.0764177,0.0058397,0.58335,0.6533,0.5293,0.3037,0.44755
MOD13A3_061__1_km_monthly_EVI_doy2019152000000_aid0001,_1_km_monthly_EVI,aid0001,2019-06-01,219.0,0.3426,0.6466,"(0.3426,0.6466)",0.4919374,0.0786793,0.0061904,0.561,0.6466,0.5043,0.3426,0.415
MOD13A3_061__1_km_monthly_EVI_doy2019182000000_aid0001,_1_km_monthly_EVI,aid0001,2019-07-01,219.0,0.2571,0.6502,"(0.2571,0.6502)",0.4613078,0.0933308,0.0087106,0.53645,0.6502,0.4864,0.2571,0.3717
MOD13A3_061__1_km_monthly_EVI_doy2019213000000_aid0001,_1_km_monthly_EVI,aid0001,2019-08-01,219.0,0.201,0.5592,"(0.201,0.5592)",0.4011749,0.1024564,0.0104973,0.48665,0.5592,0.4391,0.201,0.30375
MOD13A3_061__1_km_monthly_EVI_doy2019244000000_aid0001,_1_km_monthly_EVI,aid0001,2019-09-01,219.0,0.1189,0.5211,"(0.1189,0.5211)",0.3647018,0.1068018,0.0114066,0.4511,0.5211,0.3983,0.1189,0.2778
MOD13A3_061__1_km_monthly_EVI_doy2019274000000_aid0001,_1_km_monthly_EVI,aid0001,2019-10-01,219.0,0.0829,0.5786,"(0.0829,0.5786)",0.3374877,0.1098671,0.0120708,0.4159,0.5786,0.3463,0.0829,0.2559
MOD13A3_061__1_km_monthly_EVI_doy2019305000000_aid0001,_1_km_monthly_EVI,aid0001,2019-11-01,219.0,0.0584,0.7338,"(0.0584,0.7338)",0.4127553,0.122589,0.0150281,0.4951,0.6733,0.4304,0.1378,0.35215
MOD13A3_061__1_km_monthly_EVI_doy2019335000000_aid0001,_1_km_monthly_EVI,aid0001,2019-12-01,219.0,0.1071,0.6762,"(0.1071,0.6762)",0.4857712,0.1063122,0.0113023,0.5581,0.6762,0.5037,0.1947,0.4113
MOD13A3_061__1_km_monthly_EVI_doy2020001000000_aid0001,_1_km_monthly_EVI,aid0001,2020-01-01,219.0,0.385,0.6853,"(0.385,0.6853)",0.5249393,0.070433,0.0049608,0.58305,0.6853,0.5347,0.385,0.4652
MOD13A3_061__1_km_monthly_EVI_doy2020032000000_aid0001,_1_km_monthly_EVI,aid0001,2020-02-01,219.0,0.2854,0.6461,"(0.2854,0.6461)",0.5255164,0.0715953,0.0051259,0.58275,0.6461,0.5527,0.2854,0.45095
MOD13A3_061__1_km_monthly_EVI_doy2020061000000_aid0001,_1_km_monthly_EVI,aid0001,2020-03-01,219.0,0.2977,0.6629,"(0.2977,0.6629)",0.4655749,0.0793512,0.0062966,0.5298,0.6629,0.4714,0.2977,0.4096
MOD13A3_061__1_km_monthly_EVI_doy2020092000000_aid0001,_1_km_monthly_EVI,aid0001,2020-04-01,219.0,0.2602,0.6649,"(0.2602,0.6649)",0.4722781,0.07749,0.0060047,0.5268,0.6649,0.4833,0.2602,0.4153
MOD13A3_061__1_km_monthly_EVI_doy2020122000000_aid0001,_1_km_monthly_EVI,aid0001,2020-05-01,219.0,0.2583,0.7389,"(0.2583,0.7389)",0.5296224,0.0959082,0.0091984,0.6081,0.7389,0.534,0.2583,0.44845
MOD13A3_061__1_km_monthly_EVI_doy2020153000000_aid0001,_1_km_monthly_EVI,aid0001,2020-06-01,219.0,0.3422,0.7319,"(0.3422,0.7319)",0.5187694,0.0841122,0.0070749,0.58465,0.7319,0.5257,0.3422,0.43895
MOD13A3_061__1_km_monthly_EVI_doy2020183000000_aid0001,_1_km_monthly_EVI,aid0001,2020-07-01,219.0,0.3207,0.626,"(0.3207,0.626)",0.4753963,0.0694326,0.0048209,0.52565,0.626,0.4897,0.3207,0.417
MOD13A3_061__1_km_monthly_EVI_doy2020214000000_aid0001,_1_km_monthly_EVI,aid0001,2020-08-01,219.0,0.2479,0.6331,"(0.2479,0.6331)",0.4543795,0.0867282,0.0075218,0.52375,0.6331,0.4691,0.2479,0.3829
MOD13A3_061__1_km_monthly_EVI_doy2020245000000_aid0001,_1_km_monthly_EVI,aid0001,2020-09-01,219.0,0.2344,0.6182,"(0.2344,0.6182)",0.4395731,0.0873016,0.0076216,0.51365,0.6182,0.4526,0.2344,0.3599
MOD13A3_061__1_km_monthly_EVI_doy2020275000000_aid0001,_1_km_monthly_EVI,aid0001,2020-10-01,219.0,0.3212,0.6466,"(0.3212,0.6466)",0.4944959,0.087307,0.0076225,0.56585,0.6466,0.5146,0.3212,0.4085
MOD13A3_061__1_km_monthly_EVI_doy2020306000000_aid0001,_1_km_monthly_EVI,aid0001,2020-11-01,219.0,0.3129,0.6283,"(0.3129,0.6283)",0.5041717,0.0812534,0.0066021,0.5732,0.6283,0.5269,0.3129,0.41925
MOD13A3_061__1_km_monthly_EVI_doy2020336000000_aid0001,_1_km_monthly_EVI,aid0001,2020-12-01,219.0,0.1562,0.6782,"(0.1562,0.6782)",0.4598612,0.0995206,0.0099044,0.5345,0.6782,0.4639,0.2078,0.4009
MOD13A3_061__1_km_monthly_EVI_doy2021001000000_aid0001,_1_km_monthly_EVI,aid0001,2021-01-01,219.0,0.1411,0.7295,"(0.1411,0.7295)",0.4580324,0.0860787,0.0074095,0.51395,0.6617,0.4493,0.2647,0.4115
MOD13A3_061__1_km_monthly_EVI_doy2021032000000_aid0001,_1_km_monthly_EVI,aid0001,2021-02-01,219.0,0.1411,0.6684,"(0.1411,0.6684)",0.4392626,0.0802266,0.0064363,0.4763,0.5892,0.4332,0.2878,0.4008
MOD13A3_061__1_km_monthly_EVI_doy2021060000000_aid0001,_1_km_monthly_EVI,aid0001,2021-03-01,219.0,0.358,0.6991,"(0.358,0.6991)",0.5270283,0.0843087,0.007108,0.5905,0.6991,0.5543,0.358,0.4448
MOD13A3_061__1_km_monthly_EVI_doy2021091000000_aid0001,_1_km_monthly_EVI,aid0001,2021-04-01,219.0,0.358,0.6991,"(0.358,0.6991)",0.5517164,0.0746483,0.0055724,0.60835,0.6991,0.5604,0.358,0.5009
MOD13A3_061__1_km_monthly_EVI_doy2021121000000_aid0001,_1_km_monthly_EVI,aid0001,2021-05-01,219.0,0.3226,0.6973,"(0.3226,0.6973)",0.5378059,0.0749043,0.0056107,0.59435,0.6973,0.526,0.3226,0.4822
MOD13A3_061__1_km_monthly_EVI_doy2021152000000_aid0001,_1_km_monthly_EVI,aid0001,2021-06-01,219.0,0.2597,0.6579,"(0.2597,0.6579)",0.502237,0.0683694,0.0046744,0.5598,0.6579,0.4971,0.376,0.45295
MOD13A3_061__1_km_monthly_EVI_doy2021182000000_aid0001,_1_km_monthly_EVI,aid0001,2021-07-01,219.0,0.2597,0.706,"(0.2597,0.706)",0.4693256,0.0670713,0.0044986,0.5092,0.632,0.4709,0.3054,0.42405
MOD13A3_061__1_km_monthly_EVI_doy2021213000000_aid0001,_1_km_monthly_EVI,aid0001,2021-08-01,219.0,0.2823,0.6318,"(0.2823,0.6318)",0.4524639,0.0842717,0.0071017,0.51285,0.6318,0.4632,0.2823,0.3778
MOD13A3_061__1_km_monthly_EVI_doy2021244000000_aid0001,_1_km_monthly_EVI,aid0001,2021-09-01,219.0,0.2945,0.6577,"(0.2945,0.6577)",0.4950845,0.077625,0.0060256,0.56185,0.6577,0.5072,0.2945,0.43005
MOD13A3_061__1_km_monthly_EVI_doy2021274000000_aid0001,_1_km_monthly_EVI,aid0001,2021-10-01,219.0,0.2349,0.6818,"(0.2349,0.6818)",0.4804342,0.0884715,0.0078272,0.55015,0.6818,0.5012,0.2349,0.4062
MOD13A3_061__1_km_monthly_EVI_doy2021305000000_aid0001,_1_km_monthly_EVI,aid0001,2021-11-01,219.0,0.0701,0.6882,"(0.0701,0.6882)",0.4596461,0.1263813,0.0159722,0.5672,0.6882,0.4693,0.1317,0.39
MOD13A3_061__1_km_monthly_EVI_doy2021335000000_aid0001,_1_km_monthly_EVI,aid0001,2021-12-01,219.0,0.1077,0.7206,"(0.1077,0.7206)",0.5002904,0.1134091,0.0128616,0.5866,0.7206,0.5046,0.2127,0.43115
MOD13A3_061__1_km_monthly_EVI_doy2022001000000_aid0001,_1_km_monthly_EVI,aid0001,2022-01-01,219.0,0.2536,0.6944,"(0.2536,0.6944)",0.5374772,0.0765726,0.0058634,0.59745,0.6944,0.5305,0.3637,0.4919
MOD13A3_061__1_km_monthly_EVI_doy2022032000000_aid0001,_1_km_monthly_EVI,aid0001,2022-02-01,219.0,0.1193,0.6747,"(0.1193,0.6747)",0.4208612,0.1083567,0.0117412,0.4723,0.6223,0.4304,0.2248,0.37095
MOD13A3_061__1_km_monthly_EVI_doy2022060000000_aid0001,_1_km_monthly_EVI,aid0001,2022-03-01,219.0,0.168,0.6238,"(0.168,0.6238)",0.4402461,0.079279,0.0062852,0.4923,0.6238,0.4364,0.266,0.39685
MOD13A3_061__1_km_monthly_EVI_doy2022091000000_aid0001,_1_km_monthly_EVI,aid0001,2022-04-01,219.0,0.3358,0.6521,"(0.3358,0.6521)",0.4785461,0.0675795,0.004567,0.52085,0.6521,0.4717,0.3358,0.4322
MOD13A3_061__1_km_monthly_EVI_doy2022121000000_aid0001,_1_km_monthly_EVI,aid0001,2022-05-01,219.0,0.177,0.7157,"(0.177,0.7157)",0.481347,0.0756365,0.0057209,0.53265,0.6427,0.4771,0.2894,0.43535
MOD13A3_061__1_km_monthly_EVI_doy2022152000000_aid0001,_1_km_monthly_EVI,aid0001,2022-06-01,219.0,0.177,0.6727,"(0.177,0.6727)",0.4580224,0.0715737,0.0051228,0.50365,0.6162,0.4638,0.2894,0.417
MOD13A3_061__1_km_monthly_EVI_doy2022182000000_aid0001,_1_km_monthly_EVI,aid0001,2022-07-01,219.0,0.3216,0.7461,"(0.3216,0.7461)",0.4867046,0.0833177,0.0069418,0.54705,0.6938,0.4703,0.3216,0.4285
MOD13A3_061__1_km_monthly_EVI_doy2022213000000_aid0001,_1_km_monthly_EVI,aid0001,2022-08-01,219.0,0.3323,0.6156,"(0.3323,0.6156)",0.5023717,0.0669093,0.0044769,0.5615,0.6156,0.5055,0.3323,0.44785
MOD13A3_061__1_km_monthly_EVI_doy2022244000000_aid0001,_1_km_monthly_EVI,aid0001,2022-09-01,219.0,0.3126,0.5686,"(0.3126,0.5686)",0.4519315,0.0693839,0.0048141,0.51285,0.5686,0.4644,0.3126,0.38585
MOD13A3_061__1_km_monthly_EVI_doy2022274000000_aid0001,_1_km_monthly_EVI,aid0001,2022-10-01,219.0,0.2259,0.5496,"(0.2259,0.5496)",0.4064333,0.0747263,0.005584,0.4653,0.5496,0.4302,0.2259,0.33615
MOD13A3_061__1_km_monthly_EVI_doy2022305000000_aid0001,_1_km_monthly_EVI,aid0001,2022-11-01,219.0,0.2337,0.6344,"(0.2337,0.6344)",0.4958726,0.0610822,0.003731,0.5374,0.6344,0.4958,0.3497,0.45705
MOD13A3_061__1_km_monthly_EVI_doy2022335000000_aid0001,_1_km_monthly_EVI,aid0001,2022-12-01,219.0,0.36,0.6893,"(0.36,0.6893)",0.4790776,0.0577106,0.0033305,0.51605,0.6217,0.4759,0.36,0.4385
MOD13A3_061__1_km_monthly_EVI_doy2023001000000_aid0001,_1_km_monthly_EVI,aid0001,2023-01-01,219.0,0.308,0.6998,"(0.308,0.6998)",0.5363694,0.0840805,0.0070695,0.607,0.6998,0.5502,0.308,0.46685
MOD13A3_061__1_km_monthly_EVI_doy2023032000000_aid0001,_1_km_monthly_EVI,aid0001,2023-02-01,219.0,0.3245,0.6606,"(0.3245,0.6606)",0.4718922,0.0682536,0.0046585,0.5201,0.6606,0.4855,0.3245,0.40845
MOD13A3_061__1_km_monthly_EVI_doy2023060000000_aid0001,_1_km_monthly_EVI,aid0001,2023-03-01,219.0,0.159,0.7123,"(0.159,0.7123)",0.4302603,0.0804059,0.0064651,0.47635,0.575,0.4289,0.281,0.39035
MOD13A3_061__1_km_monthly_EVI_doy2023091000000_aid0001,_1_km_monthly_EVI,aid0001,2023-04-01,219.0,0.2942,0.7295,"(0.2942,0.7295)",0.5187895,0.0779656,0.0060786,0.57965,0.7295,0.5191,0.2942,0.4589
MOD13A3_061__1_km_monthly_EVI_doy2023121000000_aid0001,_1_km_monthly_EVI,aid0001,2023-05-01,219.0,0.3488,0.6334,"(0.3488,0.6334)",0.5161178,0.0651177,0.0042403,0.56525,0.6334,0.5344,0.3488,0.4564
MOD13A3_061__1_km_monthly_EVI_doy2023152000000_aid0001,_1_km_monthly_EVI,aid0001,2023-06-01,219.0,0.3356,0.6573,"(0.3356,0.6573)",0.5205201,0.0716016,0.0051268,0.5722,0.6573,0.5435,0.3356,0.45935
MOD13A3_061__1_km_monthly_EVI_doy2023182000000_aid0001,_1_km_monthly_EVI,aid0001,2023-07-01,219.0,0.287,0.6765,"(0.287,0.6765)",0.4851205,0.0917301,0.0084144,0.5574,0.6765,0.4989,0.287,0.4104
MOD13A3_061__1_km_monthly_EVI_doy2023213000000_aid0001,_1_km_monthly_EVI,aid0001,2023-08-01,219.0,0.2343,0.5349,"(0.2343,0.5349)",0.4106616,0.080114,0.0064183,0.4702,0.5349,0.4466,0.2343,0.335
MOD13A3_061__1_km_monthly_EVI_doy2023244000000_aid0001,_1_km_monthly_EVI,aid0001,2023-09-01,219.0,0.2923,0.6066,"(0.2923,0.6066)",0.4797913,0.0892545,0.0079664,0.55175,0.6066,0.5215,0.2923,0.3848
MOD13A3_061__1_km_monthly_EVI_doy2023274000000_aid0001,_1_km_monthly_EVI,aid0001,2023-10-01,219.0,0.2541,0.6605,"(0.2541,0.6605)",0.4875963,0.1015844,0.0103194,0.5658,0.6605,0.5236,0.2541,0.39065
MOD13A3_061__1_km_monthly_EVI_doy2023305000000_aid0001,_1_km_monthly_EVI,aid0001,2023-11-01,219.0,0.2817,0.719,"(0.2817,0.719)",0.5097836,0.0871452,0.0075943,0.56855,0.719,0.5088,0.314,0.45415
MOD13A3_061__1_km_monthly_EVI_doy2023335000000_aid0001,_1_km_monthly_EVI,aid0001,2023-12-01,219.0,0.3533,0.6907,"(0.3533,0.6907)",0.5244292,0.08044,0.0064706,0.59275,0.6907,0.5329,0.3533,0.4564
MOD13A3_061__1_km_monthly_EVI_doy2024001000000_aid0001,_1_km_monthly_EVI,aid0001,2024-01-01,219.0,0.4208,0.74,"(0.4208,0.74)",0.5912753,0.0753586,0.0056789,0.65695,0.74,0.5965,0.4208,0.51725
MOD13A3_061__1_km_monthly_EVI_doy2024032000000_aid0001,_1_km_monthly_EVI,aid0001,2024-02-01,219.0,0.3437,0.6646,"(0.3437,0.6646)",0.5189763,0.0711105,0.0050567,0.5698,0.6646,0.5336,0.3437,0.46285
MOD13A3_061__1_km_monthly_EVI_doy2024061000000_aid0001,_1_km_monthly_EVI,aid0001,2024-03-01,219.0,0.3081,0.7089,"(0.3081,0.7089)",0.450063,0.0652103,0.0042524,0.49945,0.6136,0.4526,0.3081,0.3965
MOD13A3_061__1_km_monthly_EVI_doy2024092000000_aid0001,_1_km_monthly_EVI,aid0001,2024-04-01,219.0,0.2866,0.8902,"(0.2866,0.8902)",0.4736594,0.0891258,0.0079434,0.54535,0.6917,0.4731,0.2866,0.3972
MOD13A3_061__1_km_monthly_EVI_doy2024122000000_aid0001,_1_km_monthly_EVI,aid0001,2024-05-01,219.0,0.3468,0.6652,"(0.3468,0.6652)",0.5212932,0.0799502,0.006392,0.58245,0.6652,0.5488,0.3468,0.44255
